time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-02T12:36:11.746Z,60.0444,-152.9656,106.9,2.5,ml,,,,0.47,ak,ak0201is3e77,2020-02-05T21:19:10.524Z,"51km S of Redoubt Volcano, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-02-02T21:15:29.816Z,37.785,-114.3133,5.4,2.5,ml,11,66.44,0.215,0.1862,nn,nn00716424,2020-02-03T22:30:59.145Z,"20km SE of Pioche, Nevada",earthquake,,1.7,0,1,reviewed,nn,nn
2020-02-04T05:28:51.247Z,60.3874,-138.1559,0,2.5,ml,,,,0.99,ak,ak0201lyyfbc,2020-02-04T05:40:57.465Z,"53km SW of Haines Junction, Canada",earthquake,,0.3,,,automatic,ak,ak
2020-02-04T06:28:37.130Z,17.8928,-66.8555,15,2.5,ml,8,239,0.0856,0.34,pr,pr2020035015,2020-02-04T14:31:17.748Z,"10km SSE of Guanica, Puerto Rico",earthquake,2.23,1.35,0,0,reviewed,pr,pr
2020-02-04T20:29:12.688Z,17.7834,-66.8526,10,2.5,ml,,220,0.241,0.55,us,us70007ik0,2020-02-06T21:58:54.040Z,"21km SSE of Guanica, Puerto Rico",earthquake,1.5,2,0.061,35,reviewed,us,us
2020-02-05T16:51:41.097Z,17.7695,-66.8684,10,2.5,ml,,221,0.259,0.54,us,us70007j3v,2020-02-05T23:39:35.040Z,"22km S of Guanica, Puerto Rico",earthquake,1.5,2,0.065,31,reviewed,us,us
2020-02-07T10:41:44.013Z,46.3743,-75.1778,11.97,2.5,ml,,112,0.461,0.87,us,us70007ksi,2020-02-08T06:46:57.040Z,"24km W of Riviere-Rouge, Canada",earthquake,2.8,8.3,0.077,22,reviewed,us,us
2020-02-07T16:17:51.048Z,17.9495,-67.0281,10,2.5,ml,,220,0.025,0.17,us,us70007kx9,2020-02-07T17:24:25.040Z,"3km SE of La Parguera, Puerto Rico",earthquake,2.3,1.4,0.07,27,reviewed,us,us
2020-02-07T19:56:30.900Z,17.8758,-66.9245,8,2.5,md,9,235,0.1091,0.24,pr,pr2020038023,2020-02-08T03:59:04.574Z,"10km S of Guanica, Puerto Rico",earthquake,0.91,1.07,0.2,6,reviewed,pr,pr
2020-02-08T07:20:51.231Z,17.7808,-66.8288,10,2.5,ml,,220,0.247,0.42,us,us70007lfg,2020-02-08T08:35:21.040Z,"22km SSE of Guanica, Puerto Rico",earthquake,2.8,2,0.063,33,reviewed,us,us
2020-02-08T15:16:14.890Z,19.1883335,-155.4676666,35.6,2.5,md,58,98,0.03317,0.13,hv,hv71375157,2020-02-08T15:19:41.230Z,"2km SE of Pahala, Hawaii",earthquake,0.47,0.67,0.13,28,automatic,hv,hv
2020-02-03T06:30:49.100Z,17.9675,-66.7526,13,2.51,md,12,199,0.1268,0.19,pr,pr2020034016,2020-02-04T09:31:17.040Z,"5km SW of Tallaboa, Puerto Rico",earthquake,0.83,0.39,0.11,5,reviewed,pr,pr
2020-02-04T12:54:14.310Z,19.2296667,-155.4223333,33.93,2.51,ml,65,130,0.02473,0.12,hv,hv71368077,2020-02-04T20:14:58.590Z,"6km NE of Pahala, Hawaii",earthquake,0.42,0.56,0.166,32,reviewed,hv,hv
2020-02-08T01:21:54.290Z,17.9353,-66.7725,12,2.51,md,12,210,0.1139,0.23,pr,pr2020039002,2020-02-08T09:24:24.723Z,"1km S of Magas Arriba, Puerto Rico",earthquake,1.27,0.62,0.22,8,reviewed,pr,pr
2020-02-08T13:42:09.060Z,17.8391,-66.8643,3,2.51,md,10,262,0.1368,0.08,pr,pr2020039032,2020-02-08T16:40:51.585Z,"15km SSE of Guanica, Puerto Rico",earthquake,0.61,0.34,0.44,4,reviewed,pr,pr
2020-02-02T00:29:28.680Z,18.9216,-67.6748,22,2.52,md,14,186,0.5717,0.42,pr,pr2020033021,2020-02-02T17:03:23.229Z,"85km NNW of San Antonio, Puerto Rico",earthquake,1.4,29.92,0.06,3,reviewed,pr,pr
2020-02-03T18:21:55.970Z,19.5179996,-155.6541595,0.87,2.52,ml,9,133,0.02496,0.17,hv,hv71366657,2020-02-04T03:49:09.393Z,"23km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.66,1.05,0.39,16,automatic,hv,hv
2020-02-04T13:38:14.680Z,19.974,-155.2558333,15.87,2.52,ml,57,110,0.02268,0.11,hv,hv71368162,2020-02-05T20:43:12.040Z,"23km SE of Honoka'a, Hawaii",earthquake,0.62,1.31,0.119,27,reviewed,hv,hv
2020-02-08T00:19:54.280Z,35.05519867,-95.37210083,5,2.52,ml,14,213.0758476,0.1667802036,0.3521023267,ok,ok2020crlu,2020-02-08T00:56:16.040Z,"4km W of Quinton, Oklahoma",earthquake,6.145772893,,,12,automatic,ok,ok
2020-02-02T06:49:41.290Z,19.0930004,-155.4795074,22.81,2.53,ml,32,233,0.06422,0.16,hv,hv71363912,2020-02-02T07:14:46.040Z,"12km S of Pahala, Hawaii",earthquake,1.13,1.38,3.81,4,automatic,hv,hv
2020-02-04T08:08:20.450Z,17.9696,-66.7981,15,2.53,md,9,207,0.0813,0.07,pr,pr2020035017,2020-02-04T08:34:48.339Z,"3km SE of Indios, Puerto Rico",earthquake,1.01,0.67,0.12,3,reviewed,pr,pr
2020-02-06T10:00:08.330Z,40.2988319,-124.3863297,8.36,2.53,md,9,255,0.03503,0.06,nc,nc73336276,2020-02-06T11:42:02.954Z,"9km WSW of Petrolia, CA",earthquake,1.41,0.51,0.27,7,automatic,nc,nc
2020-02-04T07:32:03.070Z,17.902,-66.8025,7,2.54,md,11,231,0.106,0.08,pr,pr2020035016,2020-02-04T15:34:37.862Z,"10km S of Indios, Puerto Rico",earthquake,0.82,0.36,0.19,5,reviewed,pr,pr
2020-02-07T23:11:18.860Z,39.348835,-122.0110016,29.41,2.54,md,11,104,0.1454,0.12,nc,nc73336976,2020-02-08T00:49:02.894Z,"15km N of Colusa, CA",earthquake,0.97,1.41,0.22,11,automatic,nc,nc
2020-02-08T03:01:50.110Z,17.9298,-66.8343,15,2.54,md,12,213,0.0638,0.16,pr,pr2020039008,2020-02-08T11:04:25.951Z,"7km SSW of Indios, Puerto Rico",earthquake,0.83,0.4,0.27,7,reviewed,pr,pr
2020-02-07T05:37:27.320Z,35.102,-95.39966667,6.69,2.55,ml,56,133,0,0.21,ok,ok2020cqat,2020-02-07T14:09:31.887Z,"4km SW of Quinton, Oklahoma",earthquake,,0.5,0.19,12,reviewed,ok,ok
2020-02-08T21:21:35.930Z,17.9675,-66.738,12,2.55,md,12,213,0.1414,0.23,pr,pr2020039046,2020-02-08T22:50:51.034Z,"3km SW of Tallaboa, Puerto Rico",earthquake,1.22,0.66,0.17,2,reviewed,pr,pr
2020-02-02T14:37:09.690Z,17.9876,-66.7968,20,2.57,md,12,184,0.0833,0.23,pr,pr2020033043,2020-02-05T20:06:28.040Z,"4km N of Guayanilla, Puerto Rico",earthquake,1.06,1.35,0.41,4,reviewed,pr,pr
2020-02-03T04:31:51.570Z,17.9295,-66.799,9,2.57,md,12,212,0.0923,0.07,pr,pr2020034010,2020-02-03T10:38:27.213Z,"7km SSE of Indios, Puerto Rico",earthquake,0.65,0.49,0.31,12,reviewed,pr,pr
2020-02-05T02:20:00.820Z,17.902,-66.8313,11,2.57,ml,12,220,0.0874,0.11,pr,pr2020036008,2020-02-05T03:17:03.369Z,"10km S of Indios, Puerto Rico",earthquake,0.78,0.5,0,0,reviewed,pr,pr
2020-02-05T22:26:22.900Z,17.947,-66.8178,12,2.57,md,12,208,0.0675,0.21,pr,pr2020036047,2020-02-05T22:48:27.239Z,"5km S of Indios, Puerto Rico",earthquake,0.96,0.45,0.39,7,reviewed,pr,pr
2020-02-06T22:16:54.210Z,49.3871666666667,-120.538833333333,-0.37,2.57,ml,15,184,,0.36,uw,uw61572072,2020-02-06T22:25:46.160Z,"8km SSW of Princeton, Canada",explosion,1.4,31.61,0.153675948483537,8,reviewed,uw,uw
2020-02-02T15:01:40.790Z,18.0105,-66.7951,16,2.58,md,12,167,0.0912,0.32,pr,pr2020033055,2020-02-03T03:22:40.995Z,"1km SSW of Guayanilla, Puerto Rico",earthquake,1.15,0.96,0.37,11,reviewed,pr,pr
2020-02-03T07:01:10.660Z,17.9966,-66.8251,12,2.58,md,7,171,0.0582,0.13,pr,pr2020034018,2020-02-03T11:04:49.157Z,"0km WNW of Indios, Puerto Rico",earthquake,0.97,0.96,0.01,3,reviewed,pr,pr
2020-02-03T20:20:36.610Z,17.9101,-67.0156,4,2.58,ml,8,246,0.1346,0.11,pr,pr2020034034,2020-02-04T04:23:04.025Z,"7km SSE of La Parguera, Puerto Rico",earthquake,0.8,0.46,0,0,reviewed,pr,pr
