time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-29T15:08:44.700Z,18.9836,-67.1885,37,4.78,ml,23,202,0.5219,0.82,pr,pr2019333005,2020-02-06T14:19:37.040Z,"51km N of San Antonio, Puerto Rico",earthquake,3.01,12.6,0.11,10,reviewed,pr,pr
2019-12-28T22:35:37.830Z,17.9371,-66.8661,6,4.7,ml,17,204,0.0402,0.23,pr,pr2019362024,2020-02-04T22:50:20.304Z,"11km SSE of Guanica, Puerto Rico",earthquake,1.02,0.58,0.41,13,reviewed,pr,pr
2019-12-29T01:06:00.130Z,17.8846,-66.864,6,5,ml,18,222,0.1992,0.24,pr,pr2019363002,2020-02-05T00:11:38.040Z,"9km S of Indios, Puerto Rico",earthquake,1.36,0.96,0,0,reviewed,pr,pr
2019-12-29T01:21:14.590Z,17.9308,-66.8363,3,4.7,ml,17,205,0.0617,0.18,pr,pr2019363003,2020-02-05T00:37:32.040Z,"11km SSE of Maria Antonia, Puerto Rico",earthquake,0.86,0.53,0.29,13,reviewed,pr,pr
2020-01-02T20:42:02.330Z,17.9148,-66.8333,7,4.5,ml,20,210,0.0758,0.21,pr,pr2020002036,2020-02-09T16:53:41.260Z,"13km S of Indios, Puerto Rico",earthquake,1.04,0.7,0.16,12,reviewed,pr,pr
2020-01-03T03:41:15.230Z,17.9006,-66.8261,2,4.7,ml,19,214,0.2287,0.19,pr,pr2020003002,2020-02-05T02:58:29.040Z,"8km S of Indios, Puerto Rico",earthquake,0.91,0.72,0,0,reviewed,pr,pr
2020-01-06T10:32:18.770Z,17.8675,-66.8193,6,5.8,mwp,19,227,0.1231,0.29,pr,pr2020006006,2020-02-04T09:11:25.040Z,"9km SSE of Indios, Puerto Rico",earthquake,1.7,1.14,0,0,reviewed,pr,pr
2020-01-06T14:51:17.270Z,17.9075,-66.799,6,4.9,ml,11,232,0.1049,0.16,pr,pr2020006017,2020-01-22T14:51:31.040Z,"8km SSW of Tallaboa, Puerto Rico",earthquake,1.1,0.69,0.31,8,reviewed,pr,pr
2020-01-07T08:24:25.143Z,17.8672,-66.828,8.07,6.4,mww,,25,0.229,0.65,us,us70006vll,2020-02-07T14:09:10.941Z,"13km SSE of Maria Antonia, Puerto Rico",earthquake,3.5,3.7,0.049,40,reviewed,us,us
2020-01-07T08:29:49.079Z,17.8574,-66.7315,10,5,mb,,46,0.219,1.37,us,us70006vmc,2020-02-06T07:12:30.471Z,"15km S of Tallaboa, Puerto Rico",earthquake,4.2,1.9,0.188,11,reviewed,us,us
2020-01-07T08:30:55.306Z,17.9206,-66.767,10,4.6,ml,,212,0.195,0.89,us,us60007c6s,2020-02-06T07:15:32.454Z,"9km SE of Indios, Puerto Rico",earthquake,1.1,1.9,0.081,20,reviewed,us,us
2020-01-07T08:34:01.979Z,17.8919,-66.7217,10,5.6,mww,,40,0.186,1.25,us,us70006vm9,2020-02-06T11:59:12.949Z,"11km S of Tallaboa, Puerto Rico",earthquake,2.1,1.8,0.075,17,reviewed,us,us
2020-01-07T08:50:45.778Z,17.9418,-66.6754,10,5,mww,,28,0.12,1.07,us,us70006vmj,2020-02-05T14:36:26.574Z,"7km SE of Tallaboa, Puerto Rico",earthquake,3.4,1.8,0.089,12,reviewed,us,us
2020-01-07T09:42:11.867Z,17.9128,-66.6898,10,4.7,mb,,69,0.151,0.56,us,us60007c6b,2020-01-28T10:20:14.578Z,"9km SSE of Tallaboa, Puerto Rico",earthquake,2.4,1.9,0.102,29,reviewed,us,us
2020-01-07T11:18:43.540Z,18.0223,-66.776,9,5.6,mwp,10,177,0.171,0.08,pr,pr2020007010,2020-02-06T11:25:55.427Z,"9km SSW of Tallaboa, Puerto Rico",earthquake,0.84,1.26,0,0,reviewed,pr,pr
2020-01-07T11:28:20.109Z,17.9998,-66.7491,10,4.5,mb,,161,0.142,0.68,us,us70006vpj,2020-01-28T13:22:55.293Z,"2km SE of Magas Arriba, Puerto Rico",earthquake,3.8,1.9,0.314,3,reviewed,us,us
2020-01-07T12:54:42.450Z,17.9315,-66.927,8,4.7,ml,8,219,0.1232,0.15,pr,pr2020007054,2020-02-02T12:16:20.040Z,"3km S of Guanica, Puerto Rico",earthquake,0.75,1.53,0,0,reviewed,pr,pr
